student_id,attendance_pct,avg_study_hours_per_day,past_marks_pct,subject,result
S001,85,2.5,78,DSA,Pass
S002,60,1.0,45,DSA,Fail
S003,92,3.0,88,AI_ML,Pass
S004,55,0.5,38,AI_ML,Fail
S005,78,2.0,66,Discrete_Math,Pass
S006,40,0.5,30,Discrete_Math,Fail
S007,88,2.8,80,Logic,Pass
S008,65,1.2,50,Logic,Fail
S009,95,3.5,91,Digital_Logic,Pass
S010,50,0.8,42,Digital_Logic,Fail
S011,72,1.8,60,DSA,Pass
S012,45,0.6,35,DSA,Fail
S013,90,2.9,85,AI_ML,Pass
S014,58,1.1,48,AI_ML,Fail
S015,80,2.2,70,Discrete_Math,Pass
S016,35,0.4,28,Discrete_Math,Fail
S017,91,3.1,86,Logic,Pass
S018,62,1.3,52,Logic,Fail
S019,88,2.7,79,Digital_Logic,Pass
S020,48,0.7,40,Digital_Logic,Fail
S021,76,2.1,65,DSA,Pass
S022,52,0.9,44,DSA,Fail
S023,93,3.2,89,AI_ML,Pass
S024,44,0.5,33,AI_ML,Fail
S025,82,2.4,72,Discrete_Math,Pass
S026,38,0.5,29,Discrete_Math,Fail
S027,86,2.6,77,Logic,Pass
S028,66,1.4,54,Logic,Fail
S029,94,3.4,90,Digital_Logic,Pass
S030,47,0.7,39,Digital_Logic,Fail
